,2023-09-30
Treasury Shares Number,0.0
Ordinary Shares Number,15550061000.0
Share Issued,15550061000.0
Net Debt,81123000000.0
Total Debt,111088000000.0
Tangible Book Value,62146000000.0
Invested Capital,173234000000.0
Working Capital,-1742000000.0
Net Tangible Assets,62146000000.0
Capital Lease Obligations,12842000000.0
Common Stock Equity,62146000000.0
Total Capitalization,157427000000.0
Total Equity Gross Minority Interest,62146000000.0
Stockholders Equity,62146000000.0
Gains Losses Not Affecting Retained Earnings,-11452000000.0
Other Equity Adjustments,-11452000000.0
Retained Earnings,-214000000.0
Capital Stock,73812000000.0
Common Stock,73812000000.0
Total Liabilities Net Minority Interest,290437000000.0
Total Non Current Liabilities Net Minority Interest,145129000000.0
Other Non Current Liabilities,34391000000.0
Tradeand Other Payables Non Current,15457000000.0
Long Term Debt And Capital Lease Obligation,95281000000.0
Long Term Capital Lease Obligation,11267000000.0
Long Term Debt,95281000000.0
Current Liabilities,145308000000.0
Other Current Liabilities,50010000000.0
Current Deferred Liabilities,8061000000.0
Current Deferred Revenue,8061000000.0
Current Debt And Capital Lease Obligation,15807000000.0
Current Capital Lease Obligation,1575000000.0
Current Debt,15807000000.0
Other Current Borrowings,9822000000.0
Commercial Paper,5985000000.0
Payables And Accrued Expenses,71430000000.0
Payables,71430000000.0
Total Tax Payable,8819000000.0
Income Tax Payable,8819000000.0
Accounts Payable,62611000000.0
Total Assets,352583000000.0
Total Non Current Assets,209017000000.0
Other Non Current Assets,46906000000.0
Non Current Deferred Assets,17852000000.0
Non Current Deferred Taxes Assets,17852000000.0
Investments And Advances,100544000000.0
Other Investments,
Investmentin Financial Assets,100544000000.0
Available For Sale Securities,100544000000.0
Net PPE,43715000000.0
Accumulated Depreciation,-70884000000.0
Gross PPE,114599000000.0
Leases,12839000000.0
Other Properties,10661000000.0
Machinery Furniture Equipment,78314000000.0
Land And Improvements,23446000000.0
Properties,0.0
Current Assets,143566000000.0
Other Current Assets,14695000000.0
Inventory,6331000000.0
Receivables,60985000000.0
Other Receivables,31477000000.0
Accounts Receivable,29508000000.0
Cash Cash Equivalents And Short Term Investments,61555000000.0
Other Short Term Investments,31590000000.0
Cash And Cash Equivalents,29965000000.0
Cash Equivalents,1606000000.0
Cash Financial,28359000000.0
